A,A_print,F,p_star,p_max,PPR,AI,zone,length_cm,width_cm,participant,side,footstep
53.75,118.5,759.5,141.30232558139537,458.0,3.2412771560236995,0.2086021505376344,forefoot,26.0,9.5,2,L,61
59.0,111.5,762.075,129.16525423728814,460.0,3.5613292654922417,0.20481927710843373,forefoot,27.0,10.0,2,R,62
54.5,108.25,535.85,98.3211009174312,443.0,4.505645236540077,0.22633744855967078,forefoot,28.0,9.5,2,L,63
53.25,111.25,717.875,134.81220657276998,460.0,3.41215392651924,0.22048997772828507,toes,27.0,10.0,2,R,64
52.75,111.25,864.5250000000001,163.89099526066352,754.0,4.600618836933576,0.18629550321199143,toes,28.5,9.5,2,L,65
46.5,91.0,548.25,117.90322580645162,491.0,4.164432284541723,0.17429193899782136,toes,27.0,10.0,2,L,66
60.5,116.25,821.9000000000001,135.85123966942152,437.0,3.2167538630003643,0.21341463414634146,forefoot,27.0,10.0,2,R,67
51.5,111.75,753.35,146.28155339805826,552.0,3.773544833078914,0.19696969696969696,forefoot,27.0,10.0,2,L,68
42.25,89.0,479.1,113.39644970414203,319.0,2.813139219369651,0.2247191011235955,heel,27.0,10.0,2,R,69
54.0,105.0,608.85,112.75,556.0,4.931263858093127,0.10884353741496598,toes,28.0,10.0,2,L,70
59.25,125.25,801.8000000000001,135.32489451476795,550.0,4.064292841107507,0.2927241962774958,forefoot,29.5,9.5,2,L,71
58.0,105.5,719.85,124.11206896551727,449.0,3.6176981315551844,0.12946428571428573,forefoot,27.5,10.0,2,R,72
48.5,108.25,691.5,142.57731958762886,924.0,6.480694143167028,0.18818380743982493,toes,28.0,10.0,2,L,73
56.5,109.0,551.125,97.54424778761063,343.0,3.516352914493082,0.24791666666666667,heel,29.0,10.0,2,R,74
61.75,116.25,933.1,151.1093117408907,774.0,5.122119815668203,0.22709163346613545,forefoot,29.0,10.0,2,L,75
56.75,129.25,591.6,104.2466960352423,357.0,3.424568965517241,0.23633156966490299,forefoot,26.0,11.0,3,R,1
80.0,127.25,784.2750000000001,98.03437500000001,680.0,6.936342481910043,0.21973929236499068,heel,27.0,10.5,3,L,2
56.5,130.75,655.875,116.0840707964602,522.0,4.496740994854202,0.2395644283121597,forefoot,26.0,10.5,3,R,3
55.0,118.5,625.575,113.7409090909091,337.0,2.962874155776685,0.23562152133580705,forefoot,26.0,10.0,3,L,4
66.5,141.0,818.5,123.0827067669173,603.0,4.899144777031155,0.2554347826086957,toes,26.0,10.5,3,R,5
60.5,138.75,576.8000000000001,95.33884297520663,380.0,3.9857836338418853,0.25524475524475526,forefoot,27.0,10.0,3,R,7
61.0,128.0,575.075,94.27459016393442,329.0,3.489805677520324,0.2623574144486692,heel,27.0,9.5,3,L,8
66.75,128.5,520.125,77.92134831460673,364.0,4.671377072819034,0.24581005586592178,heel,26.5,10.0,3,R,9
